Time: 12:02:20.112036| SYSTEM   | Connect events done
Time: 12:02:20.136968| SYSTEM   | Pictures init done
Time: 12:02:20.137995| SYSTEM   | Frame initialized and ready
Time: 12:02:20.139963| DEBUG    | func: 9| mode: 1| size: 12| data: update (11s)
Time: 12:02:20.214714| LOG      | [INFO]: received: update (11s)
Time: 12:02:20.241920| DEBUG    | func: 6| mode: 1| size: 4| data: -3.7
Time: 12:02:20.315352| SENSOR   | Yaw value received: -3.7
Time: 12:02:20.318742| SYSTEM   | Changed compass orientation
Time: 12:02:20.645458| DEBUG    | func: 9| mode: 1| size: 12| data: update (12s)
Time: 12:02:20.721168| LOG      | [INFO]: received: update (12s)
Time: 12:02:20.747329| DEBUG    | func: 6| mode: 1| size: 4| data: -4.3
Time: 12:02:20.822320| SENSOR   | Yaw value received: -4.3
Time: 12:02:20.824353| SYSTEM   | Changed compass orientation
Time: 12:02:21.154298| DEBUG    | func: 9| mode: 1| size: 12| data: update (12s)
Time: 12:02:21.226343| LOG      | [INFO]: received: update (12s)
Time: 12:02:21.257633| DEBUG    | func: 6| mode: 1| size: 4| data: -4.3
Time: 12:02:21.326781| SENSOR   | Yaw value received: -4.3
Time: 12:02:21.328805| SYSTEM   | Changed compass orientation
Time: 12:02:21.663405| DEBUG    | func: 9| mode: 1| size: 12| data: update (13s)
Time: 12:02:21.731609| LOG      | [INFO]: received: update (13s)
Time: 12:02:21.765509| DEBUG    | func: 6| mode: 1| size: 4| data: -4.3
Time: 12:02:21.833031| SENSOR   | Yaw value received: -4.3
Time: 12:02:21.834707| SYSTEM   | Changed compass orientation
Time: 12:02:22.172457| DEBUG    | func: 9| mode: 1| size: 12| data: update (13s)
Time: 12:02:22.238432| LOG      | [INFO]: received: update (13s)
Time: 12:02:22.275434| DEBUG    | func: 6| mode: 1| size: 4| data: -4.3
Time: 12:02:22.339087| SENSOR   | Yaw value received: -4.3
Time: 12:02:22.341114| SYSTEM   | Changed compass orientation
Time: 12:02:22.780693| DEBUG    | func: 9| mode: 1| size: 12| data: update (14s)
Time: 12:02:22.843198| LOG      | [INFO]: received: update (14s)
Time: 12:02:22.883925| DEBUG    | func: 6| mode: 1| size: 4| data: -4.3
Time: 12:02:22.943874| SENSOR   | Yaw value received: -4.3
Time: 12:02:22.945549| SYSTEM   | Changed compass orientation
Time: 12:02:23.291555| DEBUG    | func: 9| mode: 1| size: 12| data: update (14s)
Time: 12:02:23.349244| LOG      | [INFO]: received: update (14s)
Time: 12:02:23.393562| DEBUG    | func: 6| mode: 1| size: 4| data: -4.3
Time: 12:02:23.450157| SENSOR   | Yaw value received: -4.3
Time: 12:02:23.452182| SYSTEM   | Changed compass orientation
Time: 12:02:23.799990| DEBUG    | func: 9| mode: 1| size: 12| data: update (15s)
Time: 12:02:23.855826| LOG      | [INFO]: received: update (15s)
Time: 12:02:23.903057| DEBUG    | func: 6| mode: 1| size: 4| data: -6.1
Time: 12:02:23.956791| SENSOR   | Yaw value received: -6.1
Time: 12:02:23.958789| SYSTEM   | Changed compass orientation
Time: 12:02:24.309757| DEBUG    | func: 9| mode: 1| size: 12| data: update (15s)
Time: 12:02:24.361072| LOG      | [INFO]: received: update (15s)
Time: 12:02:24.413004| DEBUG    | func: 6| mode: 1| size: 4| data: -6.1
Time: 12:02:24.461991| SENSOR   | Yaw value received: -6.1
Time: 12:02:24.463988| SYSTEM   | Changed compass orientation
Time: 12:02:24.820113| DEBUG    | func: 9| mode: 1| size: 12| data: update (16s)
Time: 12:02:24.867468| LOG      | [INFO]: received: update (16s)
Time: 12:02:24.923135| DEBUG    | func: 6| mode: 1| size: 4| data: -4.6
Time: 12:02:24.968430| SENSOR   | Yaw value received: -4.6
Time: 12:02:24.970474| SYSTEM   | Changed compass orientation
Time: 12:02:25.328643| DEBUG    | func: 9| mode: 1| size: 12| data: update (16s)
Time: 12:02:25.373244| LOG      | [INFO]: received: update (16s)
Time: 12:02:25.430596| DEBUG    | func: 6| mode: 1| size: 4| data: -4.6
Time: 12:02:25.473736| SENSOR   | Yaw value received: -4.6
Time: 12:02:25.475777| SYSTEM   | Changed compass orientation
Time: 12:02:25.837384| DEBUG    | func: 9| mode: 1| size: 12| data: update (17s)
Time: 12:02:25.878465| LOG      | [INFO]: received: update (17s)
Time: 12:02:25.939049| DEBUG    | func: 6| mode: 1| size: 4| data: -13.2
Time: 12:02:25.980312| SENSOR   | Yaw value received: -13.2
Time: 12:02:25.983335| SYSTEM   | Changed compass orientation
Time: 12:02:26.344656| DEBUG    | func: 9| mode: 1| size: 12| data: update (17s)
Time: 12:02:26.385881| LOG      | [INFO]: received: update (17s)
Time: 12:02:26.447791| DEBUG    | func: 6| mode: 1| size: 4| data: -13.2
Time: 12:02:26.486834| SENSOR   | Yaw value received: -13.2
Time: 12:02:26.488858| SYSTEM   | Changed compass orientation
Time: 12:02:26.855255| DEBUG    | func: 9| mode: 1| size: 12| data: update (18s)
Time: 12:02:26.892544| LOG      | [INFO]: received: update (18s)
Time: 12:02:26.957576| DEBUG    | func: 6| mode: 1| size: 4| data: -20.3
Time: 12:02:26.993270| SENSOR   | Yaw value received: -20.3
Time: 12:02:26.995267| SYSTEM   | Changed compass orientation
Time: 12:02:27.374650| DEBUG    | func: 9| mode: 1| size: 12| data: update (18s)
Time: 12:02:27.399343| LOG      | [INFO]: received: update (18s)
Time: 12:02:27.477605| DEBUG    | func: 6| mode: 1| size: 4| data: -20.3
Time: 12:02:27.500250| SENSOR   | Yaw value received: -20.3
Time: 12:02:27.502247| SYSTEM   | Changed compass orientation
Time: 12:02:27.895766| DEBUG    | func: 9| mode: 1| size: 12| data: update (19s)
Time: 12:02:27.905945| LOG      | [INFO]: received: update (19s)
Time: 12:02:27.997841| DEBUG    | func: 6| mode: 1| size: 4| data: -3.2
Time: 12:02:28.006999| SENSOR   | Yaw value received: -3.2
Time: 12:02:28.008937| SYSTEM   | Changed compass orientation
Time: 12:02:28.409984| DEBUG    | func: 9| mode: 1| size: 12| data: update (19s)
Time: 12:02:28.412559| LOG      | [INFO]: received: update (19s)
Time: 12:02:28.513101| DEBUG    | func: 6| mode: 1| size: 4| data: -3.2
Time: 12:02:28.613808| SENSOR   | Yaw value received: -3.2
Time: 12:02:28.615833| SYSTEM   | Changed compass orientation
Time: 12:02:28.931255| DEBUG    | func: 9| mode: 1| size: 12| data: update (20s)
Time: 12:02:29.018224| LOG      | [INFO]: received: update (20s)
Time: 12:02:29.034152| DEBUG    | func: 6| mode: 1| size: 4| data: -1.9
Time: 12:02:29.119208| SENSOR   | Yaw value received: -1.9
Time: 12:02:29.121233| SYSTEM   | Changed compass orientation
Time: 12:02:29.454530| DEBUG    | func: 9| mode: 1| size: 12| data: update (20s)
Time: 12:02:29.524533| LOG      | [INFO]: received: update (20s)
