Time: 12:07:06.108028| SYSTEM   | Connect events done
Time: 12:07:06.130889| SYSTEM   | Pictures init done
Time: 12:07:06.132887| SYSTEM   | Frame initialized and ready
Time: 12:07:06.136672| DEBUG    | func: 9| mode: 1| size: 13| data: update (297s)
Time: 12:07:06.209312| LOG      | [INFO]: received: update (297s)
Time: 12:07:06.238729| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:06.310893| SENSOR   | Yaw value received: 10.1
Time: 12:07:06.312890| SYSTEM   | Changed compass orientation
Time: 12:07:06.644061| DEBUG    | func: 9| mode: 1| size: 13| data: update (297s)
Time: 12:07:06.716316| LOG      | [INFO]: received: update (297s)
Time: 12:07:06.744818| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:06.816776| SENSOR   | Yaw value received: 10.1
Time: 12:07:06.818801| SYSTEM   | Changed compass orientation
Time: 12:07:07.157572| DEBUG    | func: 9| mode: 1| size: 13| data: update (298s)
Time: 12:07:07.221656| LOG      | [INFO]: received: update (298s)
Time: 12:07:07.260431| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:07.322590| SENSOR   | Yaw value received: 10.1
Time: 12:07:07.324616| SYSTEM   | Changed compass orientation
Time: 12:07:07.680518| DEBUG    | func: 9| mode: 1| size: 13| data: update (298s)
Time: 12:07:07.728997| LOG      | [INFO]: received: update (298s)
Time: 12:07:07.783555| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:07.829752| SENSOR   | Yaw value received: 10.1
Time: 12:07:07.831777| SYSTEM   | Changed compass orientation
Time: 12:07:08.289957| DEBUG    | func: 9| mode: 1| size: 13| data: update (299s)
Time: 12:07:08.334103| LOG      | [INFO]: received: update (299s)
Time: 12:07:08.392768| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:08.434729| SENSOR   | Yaw value received: 10.1
Time: 12:07:08.436727| SYSTEM   | Changed compass orientation
Time: 12:07:08.798713| DEBUG    | func: 9| mode: 1| size: 13| data: update (299s)
Time: 12:07:08.841846| LOG      | [INFO]: received: update (299s)
Time: 12:07:08.900673| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:08.942773| SENSOR   | Yaw value received: 10.1
Time: 12:07:08.944801| SYSTEM   | Changed compass orientation
Time: 12:07:09.308849| DEBUG    | func: 9| mode: 1| size: 13| data: update (300s)
Time: 12:07:09.347763| LOG      | [INFO]: received: update (300s)
Time: 12:07:09.412056| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:09.448525| SENSOR   | Yaw value received: 10.1
Time: 12:07:09.450522| SYSTEM   | Changed compass orientation
Time: 12:07:09.817714| DEBUG    | func: 9| mode: 1| size: 13| data: update (301s)
Time: 12:07:09.853685| LOG      | [INFO]: received: update (301s)
Time: 12:07:09.920109| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:09.954021| SENSOR   | Yaw value received: 10.1
Time: 12:07:09.956033| SYSTEM   | Changed compass orientation
Time: 12:07:10.329136| DEBUG    | func: 9| mode: 1| size: 13| data: update (301s)
Time: 12:07:10.359277| LOG      | [INFO]: received: update (301s)
Time: 12:07:10.431226| DEBUG    | func: 6| mode: 1| size: 4| data: 10.1
Time: 12:07:10.460242| SENSOR   | Yaw value received: 10.1
Time: 12:07:10.462291| SYSTEM   | Changed compass orientation
