Time: 12:03:27.687059| SYSTEM   | Connect events done
Time: 12:03:27.707004| SYSTEM   | Pictures init done
Time: 12:03:27.709185| SYSTEM   | Frame initialized and ready
Time: 12:03:27.788953| DEBUG    | func: 9| mode: 1| size: 12| data: update (79s)
Time: 12:03:27.889102| LOG      | [INFO]: received: update (79s)
Time: 12:03:27.891090| DEBUG    | func: 6| mode: 1| size: 4| data: 11.2
Time: 12:03:27.990790| SENSOR   | Yaw value received: 11.2
Time: 12:03:27.992787| SYSTEM   | Changed compass orientation
Time: 12:03:28.296372| DEBUG    | func: 9| mode: 1| size: 12| data: update (79s)
Time: 12:03:28.395387| LOG      | [INFO]: received: update (79s)
Time: 12:03:28.398132| DEBUG    | func: 6| mode: 1| size: 4| data: 11.2
Time: 12:03:28.496845| SENSOR   | Yaw value received: 11.2
Time: 12:03:28.498862| SYSTEM   | Changed compass orientation
Time: 12:03:28.805333| DEBUG    | func: 9| mode: 1| size: 12| data: update (80s)
Time: 12:03:28.902514| LOG      | [INFO]: received: update (80s)
Time: 12:03:28.908523| DEBUG    | func: 6| mode: 1| size: 4| data: 11.2
Time: 12:03:29.003582| SENSOR   | Yaw value received: 11.2
Time: 12:03:29.005606| SYSTEM   | Changed compass orientation
Time: 12:03:29.312907| DEBUG    | func: 9| mode: 1| size: 12| data: update (80s)
Time: 12:03:29.408692| LOG      | [INFO]: received: update (80s)
Time: 12:03:29.416473| DEBUG    | func: 6| mode: 1| size: 4| data: 11.2
Time: 12:03:29.509702| SENSOR   | Yaw value received: 11.2
Time: 12:03:29.511700| SYSTEM   | Changed compass orientation
Time: 12:03:29.822058| DEBUG    | func: 9| mode: 1| size: 12| data: update (81s)
Time: 12:03:29.915245| LOG      | [INFO]: received: update (81s)
Time: 12:03:29.924352| DEBUG    | func: 6| mode: 1| size: 4| data: 11.2
Time: 12:03:30.016233| SENSOR   | Yaw value received: 11.2
Time: 12:03:30.018230| SYSTEM   | Changed compass orientation
Time: 12:03:30.333681| DEBUG    | func: 9| mode: 1| size: 12| data: update (81s)
