Time: 12:01:17.896854| DEBUG    | func: 9| mode: 1| size: 12| data: update (20s)
Time: 12:01:17.966559| LOG      | [INFO]: received: update (20s)
Time: 12:01:17.999550| DEBUG    | func: 6| mode: 1| size: 4| data: -118.0
Time: 12:01:18.067447| SENSOR   | Yaw value received: -118.0
Time: 12:01:18.069492| SYSTEM   | Changed compass orientation
Time: 12:01:18.404530| DEBUG    | func: 9| mode: 1| size: 12| data: update (20s)
Time: 12:01:18.471683| LOG      | [INFO]: received: update (20s)
Time: 12:01:18.505888| DEBUG    | func: 6| mode: 1| size: 4| data: -118.0
Time: 12:01:18.572386| SENSOR   | Yaw value received: -118.0
Time: 12:01:18.574410| SYSTEM   | Changed compass orientation
Time: 12:01:18.913262| DEBUG    | func: 9| mode: 1| size: 12| data: update (21s)
Time: 12:01:18.978850| LOG      | [INFO]: received: update (21s)
Time: 12:01:19.015674| DEBUG    | func: 6| mode: 1| size: 4| data: -118.8
Time: 12:01:19.079789| SENSOR   | Yaw value received: -118.8
Time: 12:01:19.082812| SYSTEM   | Changed compass orientation
Time: 12:01:19.422602| DEBUG    | func: 9| mode: 1| size: 12| data: update (21s)
Time: 12:01:19.486065| LOG      | [INFO]: received: update (21s)
Time: 12:01:19.523815| DEBUG    | func: 6| mode: 1| size: 4| data: -118.8
Time: 12:01:19.587173| SENSOR   | Yaw value received: -118.8
Time: 12:01:19.590167| SYSTEM   | Changed compass orientation
Time: 12:01:19.930849| DEBUG    | func: 9| mode: 1| size: 12| data: update (22s)
Time: 12:01:19.992348| LOG      | [INFO]: received: update (22s)
Time: 12:01:20.032820| DEBUG    | func: 6| mode: 1| size: 4| data: -119.3
Time: 12:01:20.093327| SENSOR   | Yaw value received: -119.3
Time: 12:01:20.095325| SYSTEM   | Changed compass orientation
Time: 12:01:20.439198| DEBUG    | func: 9| mode: 1| size: 12| data: update (22s)
Time: 12:01:20.498914| LOG      | [INFO]: received: update (22s)
Time: 12:01:20.541643| DEBUG    | func: 6| mode: 1| size: 4| data: -119.3
Time: 12:01:20.599874| SENSOR   | Yaw value received: -119.3
Time: 12:01:20.602869| SYSTEM   | Changed compass orientation
Time: 12:01:20.948598| DEBUG    | func: 9| mode: 1| size: 12| data: update (23s)
Time: 12:01:21.004213| LOG      | [INFO]: received: update (23s)
Time: 12:01:21.050678| DEBUG    | func: 6| mode: 1| size: 4| data: -119.4
Time: 12:01:21.104649| SENSOR   | Yaw value received: -119.4
Time: 12:01:21.107291| SYSTEM   | Changed compass orientation
Time: 12:01:21.456858| DEBUG    | func: 9| mode: 1| size: 12| data: update (24s)
Time: 12:01:21.510372| LOG      | [INFO]: received: update (24s)
Time: 12:01:21.560637| DEBUG    | func: 6| mode: 1| size: 4| data: -119.4
