Time: 16:29:31.798494| SYSTEM   | Connect events done
Time: 16:29:31.826526| SYSTEM   | Pictures init done
Time: 16:29:31.828520| SYSTEM   | Frame initialized and ready
Time: 16:29:31.904832| SENSOR   | Pitch value received: 0.06
Time: 16:29:32.005594| SENSOR   | Yaw value received: 21.168
Time: 16:29:32.005594| DEBUG    | Yaw value is float
Time: 16:29:32.007640| SYSTEM   | Changed compass orientation
Time: 16:29:32.511688| SENSOR   | Roll value received: 0.012
Time: 16:29:32.612125| SENSOR   | Pitch value received: 0.061
Time: 16:29:32.712570| SENSOR   | Yaw value received: 21.632
Time: 16:29:32.712570| DEBUG    | Yaw value is float
Time: 16:29:32.712570| SYSTEM   | Changed compass orientation
Time: 16:29:33.522885| SENSOR   | Roll value received: 0.015
Time: 16:29:33.623904| SENSOR   | Pitch value received: 0.06
Time: 16:29:33.725034| SENSOR   | Yaw value received: 20.903
Time: 16:29:33.725034| DEBUG    | Yaw value is float
Time: 16:29:33.725034| SYSTEM   | Changed compass orientation
Time: 16:29:34.533497| SENSOR   | Roll value received: 0.012
Time: 16:29:34.634546| SENSOR   | Pitch value received: 0.061
Time: 16:29:34.735572| SENSOR   | Yaw value received: 21.437
Time: 16:29:34.735572| DEBUG    | Yaw value is float
Time: 16:29:34.735572| SYSTEM   | Changed compass orientation
Time: 16:29:35.543630| SENSOR   | Roll value received: 0.012
Time: 16:29:35.644619| SENSOR   | Pitch value received: 0.06
Time: 16:29:35.745245| SENSOR   | Yaw value received: 21.421
Time: 16:29:35.745245| DEBUG    | Yaw value is float
Time: 16:29:35.745245| SYSTEM   | Changed compass orientation
Time: 16:29:36.555419| SENSOR   | Roll value received: 0.013
Time: 16:29:36.656597| SENSOR   | Pitch value received: 0.06
Time: 16:29:36.757808| SENSOR   | Yaw value received: 21.136
Time: 16:29:36.757808| DEBUG    | Yaw value is float
Time: 16:29:36.757808| SYSTEM   | Changed compass orientation
Time: 16:29:37.567729| SENSOR   | Roll value received: 0.011
Time: 16:29:37.668666| SENSOR   | Pitch value received: 0.061
Time: 16:29:37.769513| SENSOR   | Yaw value received: 21.369
Time: 16:29:37.769513| DEBUG    | Yaw value is float
Time: 16:29:37.769513| SYSTEM   | Changed compass orientation
Time: 16:29:38.678924| SENSOR   | Roll value received: 0.012
Time: 16:29:38.779198| SENSOR   | Pitch value received: 0.062
Time: 16:29:38.880294| SENSOR   | Yaw value received: 21.461
Time: 16:29:38.880294| DEBUG    | Yaw value is float
Time: 16:29:38.880294| SYSTEM   | Changed compass orientation
Time: 16:29:39.691387| SENSOR   | Roll value received: 0.011
Time: 16:29:39.791874| SENSOR   | Pitch value received: 0.062
Time: 16:29:39.892545| SENSOR   | Yaw value received: 21.842
Time: 16:29:39.892545| DEBUG    | Yaw value is float
Time: 16:29:39.892545| SYSTEM   | Changed compass orientation
Time: 16:29:40.702507| SENSOR   | Roll value received: 0.013
Time: 16:29:40.904222| SENSOR   | Pitch value received: 0.059
Time: 16:29:41.005373| SENSOR   | Yaw value received: 21.697
Time: 16:29:41.005373| DEBUG    | Yaw value is float
Time: 16:29:41.005373| SYSTEM   | Changed compass orientation
Time: 16:29:41.815492| SENSOR   | Roll value received: 0.012
Time: 16:29:41.916764| SENSOR   | Pitch value received: 0.061
Time: 16:29:42.017555| SENSOR   | Yaw value received: 21.671
Time: 16:29:42.017555| DEBUG    | Yaw value is float
Time: 16:29:42.017555| SYSTEM   | Changed compass orientation
Time: 16:29:42.825930| SENSOR   | Roll value received: 0.012
Time: 16:29:42.926873| SENSOR   | Pitch value received: 0.061
