Time: 09:08:18.237582| SYSTEM   | Connect events done
Time: 09:08:18.261586| SYSTEM   | Pictures init done
Time: 09:08:18.265582| SYSTEM   | Frame initialized and ready
Time: 09:08:18.749311| LOG      | [INFO]: received: CA GUY
Time: 09:08:20.080064| LOG      | [INFO]: received: CA GUY
Time: 09:08:21.291918| LOG      | [INFO]: received: CA GUY
Time: 09:08:22.605494| LOG      | [INFO]: received: CA GUY
Time: 09:08:23.922312| LOG      | [INFO]: received: CA GUY
Time: 09:08:25.230122| LOG      | [INFO]: received: CA GUY
Time: 09:08:26.559302| LOG      | [INFO]: received: CA GUY
Time: 09:08:27.789410| LOG      | [INFO]: received: CA GUY
Time: 09:08:29.112502| LOG      | [INFO]: received: CA GUY
Time: 09:08:30.434287| LOG      | [INFO]: received: CA GUY
Time: 09:08:31.650835| LOG      | [INFO]: received: CA GUY
Time: 09:08:33.063739| LOG      | [INFO]: received: CA GUY
Time: 09:08:34.384034| LOG      | [INFO]: received: CA GUY
Time: 09:08:35.699420| LOG      | [INFO]: received: CA GUY
Time: 09:08:37.009420| LOG      | [INFO]: received: CA GUY
Time: 09:08:38.220191| LOG      | [INFO]: received: CA GUY
Time: 09:08:39.531435| LOG      | [INFO]: received: CA GUY
Time: 09:08:40.841414| LOG      | [INFO]: received: CA GUY
Time: 09:08:42.151241| LOG      | [INFO]: received: CA GUY
Time: 09:08:43.460264| LOG      | [INFO]: received: CA GUY
Time: 09:08:44.768353| LOG      | [INFO]: received: CA GUY
Time: 09:08:46.074533| LOG      | [INFO]: received: CA GUY
Time: 09:08:47.384131| LOG      | [INFO]: received: CA GUY
Time: 09:08:47.551093| SYSTEM   | Device ZigBee closed
Time: 09:08:47.551093| SYSTEM   | Thread to update gui ended
