Time: 09:16:19.596399| SYSTEM   | Connect events done
Time: 09:16:19.628400| SYSTEM   | Pictures init done
Time: 09:16:19.632406| SYSTEM   | Frame initialized and ready
Time: 09:16:19.700400| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:19.804401| LOG      | [WARNING]: received: CA GUY
Time: 09:16:19.905412| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:20.945407| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:21.049416| LOG      | [WARNING]: received: CA GUY
Time: 09:16:21.149798| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:22.189819| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:22.293816| LOG      | [WARNING]: received: CA GUY
Time: 09:16:22.397729| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:23.539752| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:23.643749| LOG      | [WARNING]: received: CA GUY
Time: 09:16:23.747750| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:24.884205| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:24.988167| LOG      | [WARNING]: received: CA GUY
Time: 09:16:25.092166| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:26.126859| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:26.230819| LOG      | [WARNING]: received: CA GUY
Time: 09:16:26.334853| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:27.466730| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:27.570731| LOG      | [WARNING]: received: CA GUY
Time: 09:16:27.674729| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:28.815241| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:28.919241| LOG      | [WARNING]: received: CA GUY
Time: 09:16:29.023240| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:30.058042| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:30.162042| LOG      | [WARNING]: received: CA GUY
Time: 09:16:30.266042| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:31.406672| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:31.510671| LOG      | [WARNING]: received: CA GUY
Time: 09:16:31.614707| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:32.745191| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:32.849231| LOG      | [WARNING]: received: CA GUY
Time: 09:16:32.953231| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:33.989696| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:34.090708| LOG      | [WARNING]: received: CA GUY
Time: 09:16:34.202708| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:35.340691| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:35.444691| LOG      | [WARNING]: received: CA GUY
Time: 09:16:35.548703| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:36.692303| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:36.796341| LOG      | [WARNING]: received: CA GUY
Time: 09:16:36.900338| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:37.936875| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:38.039870| LOG      | [WARNING]: received: CA GUY
Time: 09:16:38.143834| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:39.290807| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:39.391822| LOG      | [WARNING]: received: CA GUY
Time: 09:16:39.495349| LOG      | [ERROR]: received: CA GUY FORT
Time: 09:16:40.637058| LOG      | [INFO]: received: Bien ou Bien?
Time: 09:16:40.741059| LOG      | [WARNING]: received: CA GUY
