Time: 09:00:35.421427| SYSTEM   | Connect events done
Time: 09:00:35.449433| SYSTEM   | Pictures init done
Time: 09:00:35.449433| SYSTEM   | Frame initialized and ready
Time: 09:00:35.931770| LOG      | [INFO]: received: b'HERE'
Time: 09:00:37.265204| LOG      | [INFO]: received: b'HERE'
Time: 09:00:38.494407| LOG      | [INFO]: received: b'HERE'
Time: 09:00:39.810822| LOG      | [INFO]: received: b'HERE'
Time: 09:00:41.131112| LOG      | [INFO]: received: b'HERE'
Time: 09:00:42.447841| LOG      | [INFO]: received: b'HERE'
Time: 09:00:43.662468| LOG      | [INFO]: received: b'HERE'
Time: 09:00:44.987134| LOG      | [INFO]: received: b'HERE'
Time: 09:00:46.306241| LOG      | [INFO]: received: b'HERE'
Time: 09:00:47.619859| LOG      | [INFO]: received: b'HERE'
Time: 09:00:48.945190| LOG      | [INFO]: received: b'HERE'
Time: 09:00:50.157856| LOG      | [INFO]: received: b'HERE'
Time: 09:00:51.480329| LOG      | [INFO]: received: b'HERE'
Time: 09:00:52.799163| LOG      | [INFO]: received: b'HERE'
Time: 09:00:54.112971| LOG      | [INFO]: received: b'HERE'
Time: 09:00:55.347215| LOG      | [INFO]: received: b'HERE'
Time: 09:00:55.410525| SYSTEM   | Log level info set to False
Time: 09:00:58.502427| SYSTEM   | Log level info set to True
Time: 09:00:59.319295| LOG      | [INFO]: received: b'HERE'
Time: 09:01:00.535608| LOG      | [INFO]: received: b'HERE'
Time: 09:01:01.855809| LOG      | [INFO]: received: b'HERE'
Time: 09:01:03.181278| LOG      | [INFO]: received: b'HERE'
Time: 09:01:04.502584| LOG      | [INFO]: received: b'HERE'
Time: 09:01:05.718189| LOG      | [INFO]: received: b'HERE'
Time: 09:01:07.130304| LOG      | [INFO]: received: b'HERE'
Time: 09:01:08.451833| LOG      | [INFO]: received: b'HERE'
Time: 09:01:09.675490| LOG      | [INFO]: received: b'HERE'
Time: 09:01:10.993564| LOG      | [INFO]: received: b'HERE'
Time: 09:01:12.312829| LOG      | [INFO]: received: b'HERE'
Time: 09:01:13.640402| LOG      | [INFO]: received: b'HERE'
Time: 09:01:14.971923| LOG      | [INFO]: received: b'HERE'
Time: 09:01:16.190186| LOG      | [INFO]: received: b'HERE'
Time: 09:01:17.509229| LOG      | [INFO]: received: b'HERE'
Time: 09:01:18.832185| LOG      | [INFO]: received: b'HERE'
Time: 09:01:20.143110| LOG      | [INFO]: received: b'HERE'
Time: 09:01:21.362455| LOG      | [INFO]: received: b'HERE'
Time: 09:01:22.684340| LOG      | [INFO]: received: b'HERE'
Time: 09:01:24.008072| LOG      | [INFO]: received: b'HERE'
Time: 09:01:25.334398| LOG      | [INFO]: received: b'HERE'
Time: 09:01:26.551318| LOG      | [INFO]: received: b'HERE'
Time: 09:01:27.868074| LOG      | [INFO]: received: b'HERE'
Time: 09:01:29.190419| LOG      | [INFO]: received: b'HERE'
Time: 09:01:30.505804| LOG      | [INFO]: received: b'HERE'
Time: 09:01:31.723853| LOG      | [INFO]: received: b'HERE'
Time: 09:01:33.044243| LOG      | [INFO]: received: b'HERE'
Time: 09:01:34.461508| LOG      | [INFO]: received: b'HERE'
Time: 09:01:35.785763| LOG      | [INFO]: received: b'HERE'
Time: 09:01:37.104053| LOG      | [INFO]: received: b'HERE'
Time: 09:01:38.325399| LOG      | [INFO]: received: b'HERE'
Time: 09:01:39.650487| LOG      | [INFO]: received: b'HERE'
Time: 09:01:40.971653| LOG      | [INFO]: received: b'HERE'
Time: 09:01:42.292412| LOG      | [INFO]: received: b'HERE'
Time: 09:01:43.507223| LOG      | [INFO]: received: b'HERE'
Time: 09:01:44.826736| LOG      | [INFO]: received: b'HERE'
Time: 09:01:46.144921| LOG      | [INFO]: received: b'HERE'
Time: 09:01:47.466690| LOG      | [INFO]: received: b'HERE'
Time: 09:01:48.783276| LOG      | [INFO]: received: b'HERE'
Time: 09:01:50.106693| LOG      | [INFO]: received: b'HERE'
Time: 09:01:51.325662| LOG      | [INFO]: received: b'HERE'
Time: 09:01:51.999240| SYSTEM   | Device ZigBee closed
Time: 09:01:51.999240| SYSTEM   | Thread to update gui ended
